605e4806-5c1e-40f3-8a65-f9732fee2aa6,DS,1659777330711
Accelerometer x,Accelerometer y,Accelerometer z,Gyroscope x,Gyroscope y,Gyroscope z,Magnetometer x,Magnetometer y,Magnetometer z,GPS-Longitude,GPS-Latitude,GPS-Speed,Proximity_ON/OFF,Orientation yaw,Orientation pitch,Orientation roll,Screen
-0.6865,6.6933,6.0915,0.2079,0.0202,0.0663,-31.8817,-6.9901,30.2063,-0.0000,-0.0000,-0.0000,0.0000,-2.1536,0.9015,0.0022,1.0000
1.8382,7.3980,3.2376,0.1013,0.3164,0.4551,7.5577,4.6234,58.0231,-0.0000,-0.0000,-0.0000,0.0000,-2.4971,1.1339,-0.2827,1.0000
-1.0851,4.5637,-11.4201,-0.6976,-0.1385,0.0109,75.7690,38.6673,10.4782,-0.0000,-0.0000,-0.0000,0.0000,-0.6674,1.0898,2.9604,1.0000
-3.2930,5.4480,-5.6868,0.5466,-0.3345,-0.4280,69.6960,48.1186,-8.5480,-0.0000,-0.0000,-0.0000,0.0000,-0.7624,0.7548,2.6149,1.0000
-4.3117,4.5473,-6.7375,-0.0574,-0.0916,0.2016,69.2429,44.7174,-7.1808,-0.0000,-0.0000,-0.0000,0.0000,-0.8198,0.6256,2.6462,1.0000
-4.3440,4.7987,-6.7961,-0.0744,0.1971,0.1600,70.8969,34.3185,0.7721,-0.0000,-0.0000,-0.0000,0.0000,-0.8881,0.6678,2.6453,1.0000
-3.5739,5.0497,-6.9649,-0.1991,0.0969,0.0748,77.5360,31.7612,3.2394,-0.0000,-0.0000,-0.0000,0.0000,-0.9869,0.7397,2.7155,1.0000
-3.2770,5.1367,-6.3189,0.0246,-0.0096,0.0013,76.6251,29.2633,3.0075,-0.0000,-0.0000,-0.0000,0.0000,-0.9841,0.7077,2.6800,1.0000
-5.0176,4.3757,-6.7985,0.0641,-0.0576,-0.3513,71.3348,47.0917,-14.7797,-0.0000,-0.0000,-0.0000,0.0000,-0.8671,0.5445,2.5166,1.0000
-4.7423,4.8031,-6.2459,-0.0638,0.0447,0.2303,72.8760,39.4135,-8.2413,-0.0000,-0.0000,-0.0000,0.0000,-0.8732,0.6001,2.5672,1.0000
0.4400,7.6750,6.3425,-0.1660,0.0628,0.0311,-29.4846,-10.4507,28.9215,-0.0000,-0.0000,-0.0000,0.0000,-2.4953,1.0791,-0.1360,1.0000
-0.2675,7.2492,-2.6550,2.3150,-2.4597,-0.8552,58.6914,51.2573,25.0015,-0.0000,-0.0000,-0.0000,0.0000,-0.4975,0.9696,2.6580,1.0000
-4.8325,4.3063,-7.0842,-0.2225,0.0405,0.5094,69.8624,43.7347,-1.9623,-0.0000,-0.0000,-0.0000,0.0000,-0.8033,0.6668,2.5599,1.0000
-5.2215,4.5326,-5.9083,0.0832,0.0309,-0.0243,63.4155,48.7076,-8.5434,-0.0000,-0.0000,-0.0000,0.0000,-0.7798,0.5606,2.4823,1.0000
-4.5360,4.6698,-6.5056,0.0790,-0.2312,-0.2576,65.4083,46.9147,-9.3796,-0.0000,-0.0000,-0.0000,0.0000,-0.7746,0.5208,2.4858,1.0000
-4.6752,4.3351,-6.4478,0.0790,0.0405,-0.0168,66.2628,42.9749,-6.8649,-0.0000,-0.0000,-0.0000,0.0000,-0.8048,0.5309,2.5002,1.0000
-5.4155,4.4608,-7.2662,-0.2545,0.0213,0.1185,71.3882,41.9067,-6.9122,-0.0000,-0.0000,-0.0000,0.0000,-0.8684,0.4928,2.5343,1.0000
-4.5069,4.5745,-6.9793,-0.0009,-0.0128,0.0322,71.8445,35.5576,-2.4582,-0.0000,-0.0000,-0.0000,0.0000,-0.9058,0.5259,2.5772,1.0000
-5.6633,2.8267,-5.8995,0.1344,0.3515,0.1323,67.5842,39.3906,-5.8868,-0.0000,-0.0000,-0.0000,0.0000,-0.8524,0.4724,2.5238,1.0000
-4.7335,4.3422,-6.9258,0.0459,-0.0480,0.0929,69.0414,39.4348,-4.9194,-0.0000,-0.0000,-0.0000,0.0000,-0.8911,0.4936,2.5806,1.0000
-4.3728,2.6922,-8.1876,-0.0318,0.0245,-0.0157,64.5874,47.4762,-13.4949,-0.0000,-0.0000,-0.0000,0.0000,-0.8333,0.3892,2.5331,1.0000
-3.6114,5.2732,-8.2797,-0.3919,0.1502,0.0258,67.8345,40.6921,-4.0421,-0.0000,-0.0000,-0.0000,0.0000,-0.8795,0.4714,2.5905,1.0000
-4.1126,4.2501,-8.8164,-0.1586,0.0681,-0.0733,67.2043,42.2424,-7.1823,-0.0000,-0.0000,-0.0000,0.0000,-0.8334,0.4556,2.5396,1.0000
-4.8109,3.8750,-5.8492,0.0406,0.0266,-0.1819,66.6428,40.4266,-6.8115,-0.0000,-0.0000,-0.0000,0.0000,-0.8308,0.4316,2.5439,1.0000
-4.6824,3.9727,-5.3392,0.3634,-0.1076,0.0684,68.6340,43.1442,-5.2399,-0.0000,-0.0000,-0.0000,0.0000,-0.8889,0.4710,2.5988,1.0000
-5.0336,4.5829,-5.4913,0.3474,-0.1385,-0.0115,62.9791,44.9234,-7.8888,-0.0000,-0.0000,-0.0000,0.0000,-0.8485,0.4439,2.5500,1.0000
-6.7414,2.6224,-6.7522,-0.2001,0.1896,0.2964,61.9873,44.9020,-11.7935,-0.0000,-0.0000,-0.0000,0.0000,-0.8018,0.3716,2.4897,1.0000
-4.7143,3.1192,-6.4099,0.2792,0.1129,0.2463,66.3895,45.2637,-7.5958,-0.0000,-0.0000,-0.0000,0.0000,-0.8482,0.4165,2.5634,1.0000
-4.2363,3.6679,-8.7155,-0.1852,0.1118,-0.0658,66.7923,42.2729,-6.4804,-0.0000,-0.0000,-0.0000,0.0000,-0.8591,0.4457,2.5722,1.0000
-4.3652,4.1982,-7.5300,-0.0563,0.0159,0.0578,66.6504,41.0019,-6.3919,-0.0000,-0.0000,-0.0000,0.0000,-0.8597,0.4561,2.5805,1.0000
-3.5915,5.0126,-7.1229,-0.0979,0.0500,0.0727,73.2315,36.5036,-3.2211,-0.0000,-0.0000,-0.0000,0.0000,-0.9218,0.5761,2.6286,1.0000
-3.2551,6.1032,-6.7179,-0.2577,0.1438,0.0706,79.3304,28.0045,5.8823,-0.0000,-0.0000,-0.0000,0.0000,-1.0159,0.7679,2.6458,1.0000
-2.7623,8.3386,-1.8681,0.4060,0.0586,-0.3875,89.4409,27.8778,23.4680,-0.0000,-0.0000,-0.0000,0.0000,-0.7634,1.1329,2.5626,1.0000
-2.7487,7.7213,-2.3070,0.1631,-0.2205,-0.0743,84.6100,13.9984,10.2966,-0.0000,-0.0000,-0.0000,0.0000,-0.7522,1.2081,2.2603,1.0000
-2.2200,7.8873,-2.6127,-0.0190,0.0841,0.0024,88.1256,25.6439,4.6722,-0.0000,-0.0000,-0.0000,0.0000,-0.8841,1.1238,2.2743,1.0000
-2.8497,6.7576,-3.7383,0.9780,-0.3036,-0.3502,80.5466,15.6937,-20.4330,-0.0000,-0.0000,-0.0000,0.0000,-1.4062,0.8620,2.5175,1.0000
-6.6002,2.3503,-7.8476,-0.0137,0.2269,-0.5686,54.6921,39.6637,-34.6558,-0.0000,-0.0000,-0.0000,0.0000,-1.0124,0.2107,2.4079,1.0000
-5.7399,-0.7566,-7.6098,0.0694,-0.0341,-0.8594,26.4984,48.3887,-30.5725,-0.0000,-0.0000,-0.0000,0.0000,-0.5633,-0.1396,2.4947,1.0000
-8.5199,-0.4043,-7.6385,-0.5549,-0.3473,1.1124,25.7492,56.0165,-24.1898,-0.0000,-0.0000,-0.0000,0.0000,-0.3986,0.0410,2.4428,1.0000
-4.1800,5.4998,-4.8062,-0.5730,0.0841,0.0663,61.1954,53.5767,4.3640,-0.0000,-0.0000,-0.0000,0.0000,-0.4121,0.6730,2.4987,1.0000
-5.4550,5.9200,-3.1749,0.2270,0.0405,0.0120,55.9830,55.6290,10.4813,-0.0000,-0.0000,-0.0000,0.0000,-0.2531,0.7894,2.3185,1.0000
-5.1900,6.5772,-2.8956,0.2164,-0.0267,-0.0232,61.6959,47.8226,13.9969,-0.0000,-0.0000,-0.0000,0.0000,-0.2887,0.8782,2.2592,1.0000
