613958cf-ac5c-4ece-8f21-f7bff51da6e9,DS,1659765628700
Accelerometer x,Accelerometer y,Accelerometer z,Gyroscope x,Gyroscope y,Gyroscope z,Magnetometer x,Magnetometer y,Magnetometer z,GPS-Longitude,GPS-Latitude,GPS-Speed,Proximity_ON/OFF,Orientation yaw,Orientation pitch,Orientation roll,Screen
-0.0113,6.3985,6.0599,-0.0361,0.0152,-0.0087,14.2044,35.9512,-23.2224,-0.0000,-0.0000,-0.0000,0.0000,0.3958,0.8086,-0.0105,1.0000
-0.3194,6.8976,5.4530,-0.0574,0.0301,-0.0023,13.1943,36.8744,-21.3135,-0.0000,-0.0000,-0.0000,0.0000,0.3738,0.8385,0.0080,1.0000
-0.1845,6.6032,5.8895,-0.0701,-0.0604,-0.0864,15.2939,36.1572,-20.1263,-0.0000,-0.0000,-0.0000,0.0000,0.3941,0.8016,0.0162,1.0000
-0.7918,7.0281,5.2419,-0.0542,0.0109,-0.0129,13.8031,37.5854,-20.3537,-0.0000,-0.0000,-0.0000,0.0000,0.3552,0.7987,0.0654,1.0000
0.2488,6.7057,5.2395,0.0428,-0.0051,0.2001,17.1646,37.5336,-21.1014,-0.0000,-0.0000,-0.0000,0.0000,0.4235,0.8829,0.0248,1.0000
-0.1961,6.8546,5.0923,-0.0510,0.0077,-0.1131,18.7561,37.0071,-22.0627,-0.0000,-0.0000,-0.0000,0.0000,0.4468,0.9077,0.0073,1.0000
0.0705,6.3526,6.4135,-0.0456,-0.1009,-0.1099,15.8981,37.2421,-22.2885,-0.0000,-0.0000,-0.0000,0.0000,0.3874,0.8389,0.0299,1.0000
0.6523,6.3693,6.2555,0.0896,0.1015,-0.0332,17.5842,37.9288,-22.9965,-0.0000,-0.0000,-0.0000,0.0000,0.4175,0.8337,-0.0120,1.0000
-0.7152,7.0692,6.4861,0.2420,-0.4599,-0.2121,16.5817,37.0819,-24.9863,-0.0000,-0.0000,-0.0000,0.0000,0.3772,0.8574,0.1622,1.0000
0.7939,3.7948,7.4402,-0.0648,-1.6796,-0.5466,1.3168,44.3863,-18.6096,-0.0000,-0.0000,-0.0000,0.0000,0.2006,0.5137,0.0140,1.0000
-0.2121,5.6774,6.4877,0.3698,-0.2245,-0.0555,-8.6899,29.5044,-24.8398,-0.0000,-0.0000,-0.0000,0.0000,0.0139,0.8386,-0.0841,1.0000
-5.5348,6.3570,1.6263,-0.9586,0.0408,0.2811,-25.8820,-22.8714,7.0007,-0.0000,-0.0000,-0.0000,0.0000,-2.4070,0.9741,1.2702,1.0000
-6.2762,6.0760,0.1614,-0.4728,0.1175,-0.0204,-26.6327,-21.2219,4.3457,-0.0000,-0.0000,-0.0000,0.0000,-2.4056,0.9378,1.3025,1.0000
-6.1840,4.8877,-1.1981,-3.2819,1.2903,2.5458,-27.8122,-10.5804,-7.6584,-0.0000,-0.0000,-0.0000,0.0000,-1.8140,1.1012,0.9634,1.0000
0.3115,6.5413,5.0955,-0.1138,0.2218,0.1948,-10.3622,24.5209,-21.6690,-0.0000,-0.0000,-0.0000,0.0000,-0.1306,0.9858,0.0198,1.0000
-1.0141,6.5716,5.5807,-0.0137,0.4083,0.0936,-5.3574,26.1505,-22.5174,-0.0000,-0.0000,-0.0000,0.0000,-0.0999,0.8812,0.1002,1.0000
0.2684,6.8302,6.0472,-0.2917,-0.2309,0.4483,-2.0538,26.7807,-23.7045,-0.0000,-0.0000,-0.0000,0.0000,-0.0070,0.8807,0.0709,1.0000
0.0154,7.3218,5.5759,-0.0126,0.0514,0.3099,-3.4134,28.6331,-23.1979,-0.0000,-0.0000,-0.0000,0.0000,-0.0286,0.8863,0.0994,1.0000
-2.5113,7.5948,2.7216,-0.2693,0.5340,0.0872,-17.2668,6.4468,-18.6935,-0.0000,-0.0000,-0.0000,0.0000,-0.6742,1.1203,0.3089,1.0000
0.2931,6.8047,6.1493,-0.0776,0.0418,0.4888,-8.6487,22.0901,-20.8969,-0.0000,-0.0000,-0.0000,0.0000,-0.1922,0.8877,0.1684,1.0000
-0.5867,6.7540,5.0867,0.4540,-0.2756,0.1085,-3.9688,24.5544,-24.4141,-0.0000,-0.0000,-0.0000,0.0000,-0.1143,0.8557,0.2121,1.0000
-1.3505,6.5210,6.2834,0.1184,0.0844,0.0936,-7.0557,24.2172,-24.9741,-0.0000,-0.0000,-0.0000,0.0000,-0.1659,0.8036,0.1917,1.0000
-0.1286,6.7644,5.6286,0.0161,-0.0445,0.0254,-3.3463,25.2960,-22.9523,-0.0000,-0.0000,-0.0000,0.0000,-0.0676,0.8985,0.1187,1.0000
-0.7416,6.9942,5.0340,-0.6635,0.4530,0.0915,-6.0959,26.9867,-22.5037,-0.0000,-0.0000,-0.0000,0.0000,-0.1207,0.9150,0.1091,1.0000
-2.9490,3.8271,7.3316,-1.7352,1.4991,0.0180,-1.1688,34.7763,-23.9243,-0.0000,-0.0000,-0.0000,0.0000,-0.1647,0.6760,0.2185,1.0000
-5.5280,1.2509,9.2438,0.5967,-1.0277,-0.7192,5.0232,41.9983,-19.3344,-0.0000,-0.0000,-0.0000,0.0000,-0.1056,0.2720,0.6165,1.0000
-1.0943,6.5002,6.0372,-0.1277,0.0610,0.0563,-0.1175,30.0797,-24.2676,-0.0000,-0.0000,-0.0000,0.0000,-0.0607,0.8639,0.1696,1.0000
-1.1725,6.5652,5.6952,0.1653,0.2922,0.1341,0.9613,31.2469,-23.4116,-0.0000,-0.0000,-0.0000,0.0000,-0.0025,0.8105,0.1555,1.0000
0.2760,7.2955,9.0459,-0.6422,-0.5015,0.0915,2.2949,33.0719,-23.5275,-0.0000,-0.0000,-0.0000,0.0000,-0.0071,0.8543,0.2366,1.0000
-2.4830,7.1490,3.2244,0.4710,0.0748,-0.1748,-0.9506,25.4807,-24.4965,-0.0000,-0.0000,-0.0000,0.0000,-0.0906,0.9011,0.2496,1.0000
-1.5883,6.9914,5.4355,-0.1713,-0.0061,-0.0992,0.9155,30.5267,-25.1556,-0.0000,-0.0000,-0.0000,0.0000,-0.0865,0.8610,0.2796,1.0000
-2.8229,7.2017,3.2364,0.0982,0.0397,0.0116,9.0500,27.2720,-27.7267,-0.0000,-0.0000,-0.0000,0.0000,-0.0968,1.0252,0.4907,1.0000
-0.0876,6.3218,5.7902,-0.0499,-0.2831,-0.0161,2.0477,33.1726,-22.6273,-0.0000,-0.0000,-0.0000,0.0000,-0.0677,0.8186,0.2689,1.0000
-0.3772,6.5106,5.7471,-0.0084,-0.4013,0.3290,-0.9079,31.6238,-25.0015,-0.0000,-0.0000,-0.0000,0.0000,-0.1810,0.8388,0.3369,1.0000
-0.0620,6.7444,7.1872,-0.1127,0.2581,-0.0885,-3.0655,36.6898,-26.0468,-0.0000,-0.0000,-0.0000,0.0000,-0.0644,0.8067,0.1097,1.0000
-1.9462,7.5225,5.5364,-0.7817,-0.1947,0.5676,-19.6426,13.8977,-20.9015,-0.0000,-0.0000,-0.0000,0.0000,-0.4068,0.9171,0.0094,1.0000
-1.0089,7.4224,4.8193,0.1759,-0.0370,-0.0044,-13.7085,20.6345,-20.5627,-0.0000,-0.0000,-0.0000,0.0000,-0.3914,0.9687,0.1721,1.0000
-1.7647,6.8346,5.1074,0.1120,0.0663,-0.2931,-12.6770,22.5708,-21.3943,-0.0000,-0.0000,-0.0000,0.0000,-0.4325,0.9460,0.2270,1.0000
-3.8225,8.0748,-0.7240,-0.4419,0.4594,-0.0353,-30.0095,-20.1645,11.4471,-0.0000,-0.0000,-0.0000,0.0000,-2.4930,0.9786,1.0804,1.0000
-7.1257,6.3721,2.1502,0.4124,0.1824,-0.1610,-29.2847,-26.1658,12.3245,-0.0000,-0.0000,-0.0000,0.0000,-2.6107,0.9394,1.1882,1.0000
-6.1872,7.1327,0.3877,-0.1074,-0.1648,0.1586,-33.3923,-22.0642,10.5774,-0.0000,-0.0000,-0.0000,0.0000,-2.6828,0.9423,1.2516,1.0000
-1.4503,7.4874,3.9035,-1.0651,1.3084,2.2944,-27.3041,11.8713,-15.8447,-0.0000,-0.0000,-0.0000,0.0000,-1.0272,1.0641,0.3538,1.0000
-0.9351,7.1219,5.8273,-0.5303,0.2836,0.4313,-14.4928,23.7457,-21.8170,-0.0000,-0.0000,-0.0000,0.0000,-0.5614,0.9727,0.3166,1.0000
-1.1198,6.8821,5.4578,-0.1096,0.1047,-0.2121,-8.6700,25.3021,-24.8703,-0.0000,-0.0000,-0.0000,0.0000,-0.4008,0.9488,0.2764,1.0000
-2.2499,7.6893,3.9155,-0.1511,-0.2618,-0.0513,-2.1149,22.6654,-27.7145,-0.0000,-0.0000,-0.0000,0.0000,-0.5066,1.0604,0.5991,1.0000
-0.8361,6.9910,4.9662,-0.1021,0.2123,0.0063,-15.5594,21.1166,-20.9915,-0.0000,-0.0000,-0.0000,0.0000,-0.4754,0.9490,0.1953,1.0000
-5.6672,6.5976,3.0891,-0.3258,-0.2809,-1.0888,-28.4256,-13.6230,-5.6610,-0.0000,-0.0000,-0.0000,0.0000,-1.9501,1.0070,0.9330,1.0000
-5.9470,6.3745,2.2133,-0.2619,0.2634,0.1277,-29.4205,-22.5204,0.0931,-0.0000,-0.0000,-0.0000,0.0000,-2.2720,0.8781,1.0620,1.0000
-3.0883,6.7400,4.6086,-0.0542,-0.1915,0.2001,-22.2015,2.3499,-16.5375,-0.0000,-0.0000,-0.0000,0.0000,-1.1108,0.9558,0.5450,1.0000
-4.1381,7.0138,4.4650,0.3091,0.0471,-0.3059,-21.1136,-0.2151,-21.5118,-0.0000,-0.0000,-0.0000,0.0000,-1.2027,0.8564,0.6520,1.0000
-3.9841,5.8941,6.3046,0.0492,-0.7870,-0.2771,-24.9573,-2.5391,-15.0665,-0.0000,-0.0000,-0.0000,0.0000,-1.3048,0.7634,0.5764,1.0000
-4.5304,4.4356,5.5424,0.0854,0.0780,0.0979,-23.0576,-26.4160,-2.4597,-0.0000,-0.0000,-0.0000,0.0000,-2.0316,0.4508,0.6098,1.0000
