a02a5c6f-6e8f-4019-aba2-1b2cd4104a30,BL,1659769237636
Accelerometer x,Accelerometer y,Accelerometer z,Gyroscope x,Gyroscope y,Gyroscope z,Magnetometer x,Magnetometer y,Magnetometer z,GPS-Longitude,GPS-Latitude,GPS-Speed,Proximity_ON/OFF,Orientation yaw,Orientation pitch,Orientation roll,Screen
0.4420,6.9196,7.1018,-0.0179,-0.5814,-0.1322,-12.1857,5.0278,11.3647,-0.0000,-0.0000,-0.0000,0.0000,-0.7422,0.9046,-0.1507,1.0000
0.6890,6.8111,5.6589,-0.0329,-0.4301,-0.2707,-14.8239,-4.9149,27.5452,-0.0000,-0.0000,-0.0000,0.0000,-1.2018,0.9478,-0.1508,1.0000
0.4519,7.3637,4.1741,0.9834,-0.8455,-0.0736,-17.3172,-11.8866,35.8429,-0.0000,-0.0000,-0.0000,0.0000,-1.6424,1.1018,-0.1070,1.0000
-0.4259,8.2344,3.4435,0.0343,-0.4194,-0.0225,-13.0157,-13.3987,46.0464,-0.0000,-0.0000,-0.0000,0.0000,-2.1458,1.2371,0.0696,1.0000
-1.3812,7.5409,3.6027,0.1866,-0.2383,-0.0502,-5.4916,-16.8839,53.3737,-0.0000,-0.0000,-0.0000,0.0000,-2.5934,1.2261,0.1941,1.0000
-2.2647,7.1151,2.6063,0.2153,-0.1680,0.0989,1.6663,-15.5136,54.3060,-0.0000,-0.0000,-0.0000,0.0000,-2.8527,1.2248,0.2653,1.0000
-3.3700,7.6921,1.9974,0.0620,0.0461,-0.0790,3.2852,-12.4603,49.9237,-0.0000,-0.0000,-0.0000,0.0000,-3.0284,1.2460,0.3920,1.0000
-0.2970,8.5297,1.9148,-0.2662,0.1356,-0.2089,-5.8517,-10.0784,61.0275,-0.0000,-0.0000,-0.0000,0.0000,-2.7753,1.3085,0.2666,1.0000
-1.4263,7.7013,1.0672,-0.1543,0.2698,-0.4177,-9.3628,-10.5789,59.9014,-0.0000,-0.0000,-0.0000,0.0000,-2.6430,1.3233,0.1597,1.0000
-1.5715,8.6841,1.6438,-0.0467,-0.0306,0.0595,-11.4456,-11.1969,57.7606,-0.0000,-0.0000,-0.0000,0.0000,-2.8293,1.3168,0.4152,1.0000
-1.4790,7.9351,2.2376,0.1355,0.0503,0.1437,-8.2733,-11.2106,60.4324,-0.0000,-0.0000,-0.0000,0.0000,-2.8020,1.2821,0.3825,1.0000
-1.3569,8.6638,1.9519,-0.1255,-0.0306,0.0904,-8.8806,-11.2946,57.1686,-0.0000,-0.0000,-0.0000,0.0000,-2.9351,1.2898,0.5332,1.0000
-0.7332,7.2368,3.4064,-0.0403,-0.0945,-0.0310,-11.9476,-9.9731,61.9492,-0.0000,-0.0000,-0.0000,0.0000,-2.9173,1.2679,0.5674,1.0000
-0.3318,8.2105,2.8824,-0.0329,-0.1382,0.1405,-10.1608,-13.4903,60.0967,-0.0000,-0.0000,-0.0000,0.0000,-2.9432,1.2726,0.5486,1.0000
-0.9690,8.6139,3.1302,0.4188,0.1569,-0.3176,-5.2505,-9.8206,60.0037,-0.0000,-0.0000,-0.0000,0.0000,-2.8536,1.2788,0.4446,1.0000
-2.3158,7.8849,1.6534,0.1120,-0.0413,0.0286,-7.4860,-8.7524,56.4835,-0.0000,-0.0000,-0.0000,0.0000,-2.9478,1.2619,0.5567,1.0000
-2.1314,9.0504,0.6235,-0.1852,-0.2895,0.2502,-6.3507,-10.6781,57.8735,-0.0000,-0.0000,-0.0000,0.0000,-3.0232,1.2424,0.6305,1.0000
-1.7870,7.3390,2.1199,-0.0137,0.2890,-0.1610,-5.5603,-11.6226,60.4156,-0.0000,-0.0000,-0.0000,0.0000,-2.8739,1.2340,0.4621,1.0000
-1.5544,7.8031,2.0636,0.0896,0.1164,-0.3410,-9.4742,-12.8799,62.7563,-0.0000,-0.0000,-0.0000,0.0000,-2.8031,1.2641,0.3992,1.0000
-0.8888,7.2855,1.9954,0.1163,0.0610,-0.0087,-7.3288,-10.5270,60.2310,-0.0000,-0.0000,-0.0000,0.0000,-2.8323,1.2472,0.4303,1.0000
