a02a5c6f-6e8f-4019-aba2-1b2cd4104a30,BR,1659768256787
Accelerometer x,Accelerometer y,Accelerometer z,Gyroscope x,Gyroscope y,Gyroscope z,Magnetometer x,Magnetometer y,Magnetometer z,GPS-Longitude,GPS-Latitude,GPS-Speed,Proximity_ON/OFF,Orientation yaw,Orientation pitch,Orientation roll,Screen
-1.3945,3.5925,7.3209,0.0681,0.1511,0.2770,18.0359,-1.9714,12.7014,-0.0000,-0.0000,-0.0000,0.0000,1.8549,0.3246,0.1879,1.0000
0.0127,2.4904,8.0297,-0.2992,0.4311,-0.2679,12.4008,-1.6373,9.0149,-0.0000,-0.0000,-0.0000,0.0000,1.6611,0.2220,0.0232,1.0000
0.5775,4.4702,7.8221,0.0377,0.0576,0.0689,14.2166,0.4379,8.7082,-0.0000,-0.0000,-0.0000,0.0000,1.7222,0.5178,-0.1138,1.0000
0.7461,4.6200,7.6763,-0.0586,0.0073,-0.0291,14.5279,1.1505,8.7738,-0.0000,-0.0000,-0.0000,0.0000,1.7997,0.5293,-0.1013,1.0000
0.6559,4.6140,7.6986,-0.0060,-0.0097,0.0001,14.6042,0.9109,9.8343,-0.0000,-0.0000,-0.0000,0.0000,1.8513,0.5349,-0.0853,1.0000
0.5951,4.5135,7.7653,-0.0096,0.0067,0.0037,15.2496,0.9277,8.0460,-0.0000,-0.0000,-0.0000,0.0000,1.8661,0.5272,-0.0826,1.0000
0.6339,4.4989,7.7673,0.0091,-0.0068,0.0014,14.8499,0.8423,8.4900,-0.0000,-0.0000,-0.0000,0.0000,1.8595,0.5242,-0.0828,1.0000
0.6950,4.4695,7.7992,-0.0207,-0.0002,-0.0004,15.0101,0.6058,8.7250,-0.0000,-0.0000,-0.0000,0.0000,1.8795,0.5189,-0.0856,1.0000
0.5381,4.3412,7.8897,-0.0130,0.0105,-0.0001,14.3738,0.9949,8.0963,-0.0000,-0.0000,-0.0000,0.0000,1.8801,0.5008,-0.0677,1.0000
0.3152,4.0851,8.0861,-0.0182,0.0195,-0.0027,13.6673,-0.1968,8.1085,-0.0000,-0.0000,-0.0000,0.0000,1.8614,0.4661,-0.0386,1.0000
0.3377,4.0939,8.0999,0.0125,-0.0076,0.0014,13.2599,0.8194,8.4488,-0.0000,-0.0000,-0.0000,0.0000,1.8509,0.4652,-0.0369,1.0000
0.2597,4.0938,8.0914,-0.0047,0.0022,-0.0029,15.4877,0.2151,9.4238,-0.0000,-0.0000,-0.0000,0.0000,1.8613,0.4702,-0.0327,1.0000
0.2592,4.1248,8.0731,-0.0013,0.0045,-0.0016,14.9292,0.7614,8.9447,-0.0000,-0.0000,-0.0000,0.0000,1.8730,0.4729,-0.0328,1.0000
0.2498,4.1474,8.0660,0.0004,-0.0019,-0.0008,14.3051,-0.7431,8.6655,-0.0000,-0.0000,-0.0000,0.0000,1.8699,0.4748,-0.0306,1.0000
0.2550,4.1714,8.0407,-0.0094,-0.0018,0.0016,13.5803,-0.1266,9.5337,-0.0000,-0.0000,-0.0000,0.0000,1.8489,0.4741,-0.0280,1.0000
0.2360,4.1241,8.0929,0.0016,0.0047,-0.0035,14.2181,0.1999,8.9401,-0.0000,-0.0000,-0.0000,0.0000,1.8519,0.4716,-0.0299,1.0000
