a02a5c6f-6e8f-4019-aba2-1b2cd4104a30,DS,1659769403376
Accelerometer x,Accelerometer y,Accelerometer z,Gyroscope x,Gyroscope y,Gyroscope z,Magnetometer x,Magnetometer y,Magnetometer z,GPS-Longitude,GPS-Latitude,GPS-Speed,Proximity_ON/OFF,Orientation yaw,Orientation pitch,Orientation roll,Screen
1.1558,6.8553,5.0903,0.6361,0.7289,-0.3453,-25.2960,32.9208,-19.7235,-0.0000,-0.0000,-0.0000,0.0000,-0.2278,0.9159,-0.0761,1.0000
1.7652,6.7520,6.1437,-0.1596,-0.3300,0.0755,-33.6060,26.9409,-12.6785,-0.0000,-0.0000,-0.0000,0.0000,-0.4280,0.8581,-0.1029,1.0000
-0.2783,6.8134,5.1597,-0.1554,0.0727,0.3280,-34.1675,27.8046,-11.9812,-0.0000,-0.0000,-0.0000,0.0000,-0.4470,0.8573,-0.1051,1.0000
1.6403,6.0505,5.5232,0.0183,0.0333,-0.0790,-33.1467,29.5029,-10.2264,-0.0000,-0.0000,-0.0000,0.0000,-0.3784,0.8259,-0.1977,1.0000
0.9088,6.6714,5.7874,0.0524,0.0876,0.1341,-31.5598,29.4861,-11.8210,-0.0000,-0.0000,-0.0000,0.0000,-0.3347,0.8383,-0.2137,1.0000
1.9655,6.1965,5.7176,-0.0542,0.0045,-0.1141,-29.4296,31.8726,-11.8057,-0.0000,-0.0000,-0.0000,0.0000,-0.1986,0.8530,-0.3465,1.0000
3.0716,6.1830,5.1789,-0.0158,0.0791,-0.1258,-29.8355,33.9203,-12.3123,-0.0000,-0.0000,-0.0000,0.0000,-0.0775,0.8627,-0.4608,1.0000
2.1558,6.5194,5.1952,-0.0361,-0.1286,-0.0214,-29.8187,32.4448,-13.7726,-0.0000,-0.0000,-0.0000,0.0000,-0.1353,0.8678,-0.3793,1.0000
2.1786,5.5613,5.5069,-0.0563,-0.5526,0.1746,-30.6015,32.5668,-12.6266,-0.0000,-0.0000,-0.0000,0.0000,-0.1143,0.8692,-0.4306,1.0000
2.6790,6.5142,5.0161,0.0076,0.2751,-0.1067,-28.4775,33.1360,-10.7712,-0.0000,-0.0000,-0.0000,0.0000,-0.1370,0.8030,-0.4232,1.0000
2.4751,6.2085,5.7136,0.0715,-0.1467,0.0020,-30.4047,32.9315,-11.0336,-0.0000,-0.0000,-0.0000,0.0000,-0.1814,0.8108,-0.3837,1.0000
3.2432,6.6123,5.3245,0.0620,-0.0359,0.1437,-30.1041,33.1390,-9.6481,-0.0000,-0.0000,-0.0000,0.0000,-0.1576,0.8167,-0.5238,1.0000
3.3629,5.9372,6.0005,0.2548,0.1920,-0.0694,-30.3085,33.0414,-9.3781,-0.0000,-0.0000,-0.0000,0.0000,-0.1282,0.8085,-0.5068,1.0000
2.7225,5.7393,5.2982,-0.0776,0.0844,-0.2526,-31.1081,32.7011,-9.9884,-0.0000,-0.0000,-0.0000,0.0000,-0.1580,0.8198,-0.4385,1.0000
1.2720,-1.2598,10.3539,-0.0371,-0.3726,-0.3890,26.5411,33.7616,2.9495,-0.0000,-0.0000,-0.0000,0.0000,0.7929,0.0535,0.0375,1.0000
4.1111,1.1947,7.8057,0.0918,0.0440,0.2545,15.7181,42.7094,-4.7394,-0.0000,-0.0000,-0.0000,0.0000,0.5549,0.1998,-0.3300,1.0000
