be040bd0-3dd9-4f49-a9bc-5b42c1ebbed8,DS,1659772582711
Accelerometer x,Accelerometer y,Accelerometer z,Gyroscope x,Gyroscope y,Gyroscope z,Magnetometer x,Magnetometer y,Magnetometer z,GPS-Longitude,GPS-Latitude,GPS-Speed,Proximity_ON/OFF,Orientation yaw,Orientation pitch,Orientation roll,Screen
-1.3140,5.6529,6.6715,-0.0322,0.0086,-0.0140,-22.2076,-15.7181,13.5117,-0.0000,-0.0000,-0.0000,0.0000,-2.3348,0.6650,0.1714,1.0000
3.6494,3.8202,8.6308,-0.4272,1.2978,0.6769,-14.9399,-20.5109,15.6235,-0.0000,-0.0000,-0.0000,0.0000,-2.2248,0.2803,-0.2149,1.0000
1.1827,3.5375,8.3781,-0.0088,0.0512,0.0088,-20.9244,-17.9138,15.1794,-0.0000,-0.0000,-0.0000,0.0000,-2.2464,0.4213,-0.1254,1.0000
1.0973,3.6228,8.4704,0.2706,-0.1746,-0.5426,-17.9062,-18.1137,16.6153,-0.0000,-0.0000,-0.0000,0.0000,-2.4454,0.5063,-0.0914,1.0000
-1.1262,3.7946,8.7424,0.4589,-0.0186,-0.1812,-16.8015,-22.0779,8.2489,-0.0000,-0.0000,-0.0000,0.0000,-2.6077,0.4535,0.1611,1.0000
-1.4838,3.9763,8.2946,-0.0622,-0.0167,-0.0008,-21.1655,-22.2061,5.8090,-0.0000,-0.0000,-0.0000,0.0000,-2.4913,0.4124,0.1721,1.0000
-1.5278,3.6569,8.6201,-0.0443,0.1350,0.0452,-21.9650,-20.7123,3.9459,-0.0000,-0.0000,-0.0000,0.0000,-2.4561,0.4023,0.1990,1.0000
-1.4488,3.5372,8.3747,-0.0597,-0.0284,0.0278,-22.0551,-20.0104,5.2795,-0.0000,-0.0000,-0.0000,0.0000,-2.3985,0.4112,0.1465,1.0000
-1.0886,3.6271,8.4002,-0.0081,-0.0014,-0.0006,-21.3486,-19.0567,5.4993,-0.0000,-0.0000,-0.0000,0.0000,-2.3774,0.4089,0.1261,1.0000
-1.7841,3.9012,7.9921,0.1530,0.0434,-0.2820,-19.2719,-19.9738,5.5756,-0.0000,-0.0000,-0.0000,0.0000,-2.5319,0.4844,0.2326,1.0000
-4.5461,2.9530,7.4198,-0.1796,0.0344,0.1524,0.0473,-27.7374,4.5364,-0.0000,-0.0000,-0.0000,0.0000,-3.1321,0.3757,0.3701,1.0000
-3.8450,3.4409,8.0010,0.0950,0.0796,0.2500,-4.1748,-26.6083,3.6484,-0.0000,-0.0000,-0.0000,0.0000,-2.9765,0.4094,0.3827,1.0000
0.9164,4.4008,8.4519,-0.2005,-1.0470,-0.2362,-17.9657,-17.8558,11.7950,-0.0000,-0.0000,-0.0000,0.0000,-2.4044,0.4703,-0.1732,1.0000
1.5732,5.8336,6.4530,-0.0128,0.0519,0.0031,-24.3942,-3.9551,19.0247,-0.0000,-0.0000,-0.0000,0.0000,-1.9860,0.7220,-0.1484,1.0000
2.1103,5.3929,6.7874,-0.0439,-0.1009,0.0075,-23.4283,-5.4398,19.3878,-0.0000,-0.0000,-0.0000,0.0000,-1.9873,0.6869,-0.2014,1.0000
1.5624,5.4315,6.6662,0.0206,-0.0031,0.0011,-24.4507,-6.8710,19.0964,-0.0000,-0.0000,-0.0000,0.0000,-2.0387,0.6945,-0.1856,1.0000
1.6762,5.4700,6.6760,0.0339,0.0327,0.0048,-24.2889,-6.7078,18.2693,-0.0000,-0.0000,-0.0000,0.0000,-2.0340,0.6961,-0.1939,1.0000
1.7683,5.4677,6.5999,-0.0013,-0.0253,0.0054,-23.2529,-6.8512,18.1488,-0.0000,-0.0000,-0.0000,0.0000,-2.0134,0.6804,-0.2526,1.0000
1.8073,5.5011,6.5348,0.0036,0.0014,-0.0266,-22.4625,-7.0023,19.3756,-0.0000,-0.0000,-0.0000,0.0000,-2.0153,0.6771,-0.2697,1.0000
1.9211,5.4458,6.5694,-0.0094,-0.0152,0.0075,-24.2157,-6.0776,18.4814,-0.0000,-0.0000,-0.0000,0.0000,-2.0073,0.6697,-0.2876,1.0000
2.0178,5.4589,6.5521,0.0123,0.0050,-0.0016,-22.3053,-7.0816,20.0592,-0.0000,-0.0000,-0.0000,0.0000,-2.0152,0.6725,-0.2950,1.0000
1.9771,5.5164,6.4671,0.0032,-0.0267,0.0052,-21.4325,-6.5170,19.7662,-0.0000,-0.0000,-0.0000,0.0000,-2.0143,0.6828,-0.3028,1.0000
2.0746,5.5284,6.4402,0.0096,-0.0127,0.0118,-21.7453,-7.2296,19.5511,-0.0000,-0.0000,-0.0000,0.0000,-2.0171,0.6853,-0.3097,1.0000
2.1656,5.5840,6.2792,0.0238,-0.0640,0.0350,-20.8191,-5.3406,22.5342,-0.0000,-0.0000,-0.0000,0.0000,-2.0133,0.6923,-0.3311,1.0000
2.4087,5.5151,6.3310,-0.0141,-0.0142,0.0052,-21.3638,-5.8914,20.9549,-0.0000,-0.0000,-0.0000,0.0000,-2.0061,0.6832,-0.3549,1.0000
2.4354,5.5141,6.3448,0.0032,0.0037,-0.0050,-20.4056,-6.3507,20.9152,-0.0000,-0.0000,-0.0000,0.0000,-1.9948,0.6868,-0.3586,1.0000
2.1965,5.3887,6.5896,0.0047,-0.0500,0.0154,-22.0795,-5.1865,19.7922,-0.0000,-0.0000,-0.0000,0.0000,-2.0086,0.6587,-0.3131,1.0000
2.2594,5.4268,6.4698,0.0187,-0.0003,0.0050,-22.3114,-6.6132,20.6482,-0.0000,-0.0000,-0.0000,0.0000,-1.9839,0.6703,-0.3344,1.0000
2.1654,5.4433,6.4673,0.0074,0.0056,-0.0266,-21.0419,-6.7566,21.4355,-0.0000,-0.0000,-0.0000,0.0000,-2.0110,0.6742,-0.3227,1.0000
1.6216,5.5810,6.4377,0.0032,0.1642,-0.0157,-22.2305,-6.0532,19.2825,-0.0000,-0.0000,-0.0000,0.0000,-2.0138,0.6867,-0.2614,1.0000
2.0759,5.2381,5.9425,0.1287,-0.0044,0.2214,-22.5052,-2.8381,21.7514,-0.0000,-0.0000,-0.0000,0.0000,-1.9343,0.6919,-0.3299,1.0000
-1.9630,2.1324,10.4335,-2.2590,1.2377,-1.5569,-9.3246,-20.7047,-10.6140,-0.0000,-0.0000,-0.0000,0.0000,-2.4203,0.2077,0.2998,1.0000
-1.3625,3.9940,3.6505,0.6890,0.4716,-0.0941,-29.4449,-3.5873,9.7153,-0.0000,-0.0000,-0.0000,0.0000,-2.3123,0.6495,0.1032,1.0000
0.2984,3.0191,9.1521,-0.0850,-0.0866,-0.0869,-19.5251,-18.9575,6.8222,-0.0000,-0.0000,-0.0000,0.0000,-2.4863,0.3368,-0.0684,1.0000
-0.3318,2.2164,9.3558,-0.1628,-0.0180,-0.0135,-21.8094,-18.2510,0.6561,-0.0000,-0.0000,-0.0000,0.0000,-2.3979,0.2555,-0.0125,1.0000
-0.5105,3.3208,8.5489,0.0104,0.1039,0.1537,-21.7407,-18.1030,2.7603,-0.0000,-0.0000,-0.0000,0.0000,-2.3744,0.3530,0.0520,1.0000
-2.4229,4.6582,8.4812,0.0151,0.4234,0.0480,-27.8152,-13.3713,0.6805,-0.0000,-0.0000,-0.0000,0.0000,-2.3389,0.4596,0.3666,1.0000
-6.3738,5.6156,2.6774,-0.0186,-0.2962,0.4381,-25.4166,-13.8824,16.0904,-0.0000,-0.0000,-0.0000,0.0000,-3.0161,0.7267,0.6876,1.0000
-2.7869,6.7534,4.7196,-0.4178,0.1526,0.2721,-27.9541,-4.9362,16.2521,-0.0000,-0.0000,-0.0000,0.0000,-2.7601,0.7960,0.5670,1.0000
-1.5685,4.6714,7.7343,2.0287,-3.5150,-3.1352,30.3970,1.2299,16.3132,-0.0000,-0.0000,-0.0000,0.0000,1.9961,0.8811,0.4225,1.0000
-2.2039,8.0176,4.0210,-0.2629,-0.0261,0.0793,43.9621,2.1729,-10.3516,-0.0000,-0.0000,-0.0000,0.0000,1.1217,1.1702,0.4191,1.0000
