be040bd0-3dd9-4f49-a9bc-5b42c1ebbed8,PF,1659773624078
Accelerometer x,Accelerometer y,Accelerometer z,Gyroscope x,Gyroscope y,Gyroscope z,Magnetometer x,Magnetometer y,Magnetometer z,GPS-Longitude,GPS-Latitude,GPS-Speed,Proximity_ON/OFF,Orientation yaw,Orientation pitch,Orientation roll,Screen
0.0082,3.9871,8.8352,0.1386,-0.0263,-0.0017,28.8696,-29.4876,26.0941,-0.0000,-0.0000,-0.0000,0.0000,2.4836,0.4065,0.0297,1.0000
0.7516,2.6583,9.4844,-0.1607,-0.1776,-0.0102,29.5074,-35.3302,18.7332,-0.0000,-0.0000,-0.0000,0.0000,2.5001,0.3060,-0.0268,1.0000
1.0780,2.7533,8.1070,0.2345,0.3188,-0.0698,30.7709,-36.7493,17.3203,-0.0000,-0.0000,-0.0000,0.0000,2.4796,0.3031,-0.0682,1.0000
1.5489,3.0131,8.9350,0.2526,0.0312,0.0005,30.0858,-35.3958,18.9301,-0.0000,-0.0000,-0.0000,0.0000,2.4954,0.3350,-0.0722,1.0000
0.1048,3.3283,8.6692,-0.1597,-0.1318,0.0910,30.1849,-33.7524,20.3369,-0.0000,-0.0000,-0.0000,0.0000,2.4664,0.3530,-0.0372,1.0000
-0.0413,3.3419,8.4976,0.0427,0.0653,-0.0794,31.2759,-33.3511,20.9579,-0.0000,-0.0000,-0.0000,0.0000,2.4657,0.3377,-0.0334,1.0000
-0.4874,3.5817,9.7837,0.2430,-0.0359,0.1997,30.2475,-32.7637,21.2357,-0.0000,-0.0000,-0.0000,0.0000,2.4545,0.3465,-0.0204,1.0000
0.6830,2.7664,7.4282,-0.3866,-0.0061,-0.0581,33.6731,-31.5063,20.5185,-0.0000,-0.0000,-0.0000,0.0000,2.4429,0.3488,-0.0174,1.0000
0.1910,2.1456,8.6700,-0.1266,-0.1030,0.1208,32.7850,-35.6613,17.4103,-0.0000,-0.0000,-0.0000,0.0000,2.4679,0.2780,-0.0807,1.0000
-0.1765,1.8682,9.1293,0.0619,0.0099,-0.0389,31.9397,-33.0414,19.8120,-0.0000,-0.0000,-0.0000,0.0000,2.4558,0.2785,-0.0484,1.0000
0.4683,2.2333,9.4469,0.0513,-0.0072,0.0654,32.9834,-35.8505,19.0079,-0.0000,-0.0000,-0.0000,0.0000,2.4531,0.2702,-0.0387,1.0000
-1.3988,3.6080,9.6927,0.1770,-0.1041,0.2039,28.6209,-30.1437,21.9879,-0.0000,-0.0000,-0.0000,0.0000,2.4344,0.3273,0.0292,1.0000
-0.5353,3.2014,9.4054,0.2025,0.1217,-0.1082,30.3253,-31.2729,21.8658,-0.0000,-0.0000,-0.0000,0.0000,2.4364,0.3242,0.0129,1.0000
0.1183,2.2764,8.1493,-0.0947,0.0088,-0.0943,30.4016,-32.4387,22.2000,-0.0000,-0.0000,-0.0000,0.0000,2.4399,0.2968,0.0140,1.0000
-0.2308,2.9915,8.4358,-0.0755,-0.0168,-0.0379,32.3822,-30.2795,22.6181,-0.0000,-0.0000,-0.0000,0.0000,2.4242,0.3294,0.0308,1.0000
-0.6159,3.1068,8.7027,-0.0521,0.0152,0.0260,30.3284,-31.6147,22.2870,-0.0000,-0.0000,-0.0000,0.0000,2.4119,0.3236,0.0464,1.0000
0.0394,2.9596,8.4681,-0.0446,0.0280,-0.0571,30.4565,-33.8196,22.7890,-0.0000,-0.0000,-0.0000,0.0000,2.4276,0.3236,0.0235,1.0000
-0.0325,3.5226,7.6924,0.0896,0.0450,-0.0943,31.0974,-30.5756,22.3328,-0.0000,-0.0000,-0.0000,0.0000,2.4190,0.3590,0.0399,1.0000
-0.7986,3.9851,8.6082,-0.1597,-0.1201,0.1773,30.2170,-30.7236,24.5529,-0.0000,-0.0000,-0.0000,0.0000,2.4188,0.3791,0.0497,1.0000
-0.5855,4.3047,8.0627,0.0204,0.0482,-0.0549,29.7058,-30.7297,24.8886,-0.0000,-0.0000,-0.0000,0.0000,2.4325,0.4155,0.0507,1.0000
0.3797,2.5566,12.1248,0.6734,-0.0700,0.2444,33.6746,-34.0195,18.3212,-0.0000,-0.0000,-0.0000,0.0000,2.4874,0.2981,-0.0630,1.0000
0.3741,3.0406,10.9002,0.4805,-0.0146,0.1975,32.2372,-34.2651,19.3573,-0.0000,-0.0000,-0.0000,0.0000,2.4879,0.2857,-0.0657,1.0000
0.4400,2.1599,9.5618,0.0470,-0.0093,0.0047,33.1299,-35.3806,18.4265,-0.0000,-0.0000,-0.0000,0.0000,2.4779,0.2750,-0.0455,1.0000
-0.3318,2.9289,10.0539,0.0363,0.1196,-0.1977,31.3736,-34.1919,20.1141,-0.0000,-0.0000,-0.0000,0.0000,2.4779,0.2940,-0.0275,1.0000
0.3538,2.3985,8.5738,-0.0862,-0.0796,0.0367,31.3339,-34.2560,20.3262,-0.0000,-0.0000,-0.0000,0.0000,2.4696,0.3025,-0.0213,1.0000
0.6004,2.4640,8.3292,-0.1075,0.0322,-0.1540,32.0007,-33.4000,20.6482,-0.0000,-0.0000,-0.0000,0.0000,2.4800,0.3028,-0.0520,1.0000
0.2943,2.1049,9.4597,-0.0436,-0.0370,-0.0294,31.8359,-34.8221,18.5303,-0.0000,-0.0000,-0.0000,0.0000,2.4566,0.2536,-0.0363,1.0000
-0.5955,3.2465,9.5104,0.2654,0.0514,-0.0826,29.9057,-31.9809,23.4589,-0.0000,-0.0000,-0.0000,0.0000,2.4606,0.2591,-0.0039,1.0000
0.0010,1.5131,11.1476,0.0331,-0.1744,0.1645,30.9418,-34.3826,18.8278,-0.0000,-0.0000,-0.0000,0.0000,2.4594,0.2913,-0.0123,1.0000
0.0525,2.1571,7.9637,0.0981,0.3891,-0.2286,31.3705,-30.0034,24.3240,-0.0000,-0.0000,-0.0000,0.0000,2.4615,0.2705,-0.0118,1.0000
-0.7910,3.0270,9.5698,0.2995,0.1121,-0.0400,28.2852,-31.5277,24.1684,-0.0000,-0.0000,-0.0000,0.0000,2.5061,0.2919,0.0051,1.0000
-3.1314,3.9384,10.1193,-0.0308,-0.1936,0.6567,22.2000,-31.6315,26.7502,-0.0000,-0.0000,-0.0000,0.0000,2.5474,0.3650,0.1284,1.0000
-1.2970,2.4321,10.1169,0.4369,0.2187,0.1848,9.5032,-31.0959,22.7142,-0.0000,-0.0000,-0.0000,0.0000,2.8569,0.3130,0.0606,1.0000
-2.2451,3.5585,9.2342,0.0267,0.2623,0.4308,-5.6076,-23.2864,25.8759,-0.0000,-0.0000,-0.0000,0.0000,-3.0945,0.3736,0.0850,1.0000
-2.2343,2.9867,8.7107,-0.0031,0.0674,0.4447,-8.3450,-13.1210,21.3943,-0.0000,-0.0000,-0.0000,0.0000,-2.7462,0.4270,0.1198,1.0000
-1.3038,4.2748,8.8863,0.4337,0.2836,0.1549,-14.2303,9.5139,16.3681,-0.0000,-0.0000,-0.0000,0.0000,-2.4245,0.6510,0.1877,1.0000
0.5290,2.5226,9.5603,0.7330,0.5755,-0.2051,-15.9241,12.3764,9.0256,-0.0000,-0.0000,-0.0000,0.0000,-1.9937,0.5526,0.0633,1.0000
-0.5827,3.8083,9.1888,-0.2055,-0.2255,0.3286,-14.0732,13.6597,6.4209,-0.0000,-0.0000,-0.0000,0.0000,-1.6965,0.5320,0.1201,1.0000
1.0744,2.8686,10.1760,0.2377,0.0365,0.0079,-12.3062,12.3108,4.3762,-0.0000,-0.0000,-0.0000,0.0000,-1.4097,0.4376,0.0090,1.0000
1.1503,3.6970,10.0922,0.0587,-0.0679,0.0814,-12.1765,13.7314,4.7165,-0.0000,-0.0000,-0.0000,0.0000,-1.2061,0.4303,0.0074,1.0000
1.4400,3.2700,9.5654,0.3474,0.1185,-0.1359,-12.1643,16.0294,4.0421,-0.0000,-0.0000,-0.0000,0.0000,-1.0806,0.4422,0.0020,1.0000
0.6016,3.4388,7.9458,0.1652,0.2112,-0.1987,-12.2910,15.4984,5.2429,-0.0000,-0.0000,-0.0000,0.0000,-0.9959,0.4532,-0.0226,1.0000
0.1774,4.1511,9.3476,-0.1725,-0.1851,0.1113,-14.1388,15.6326,3.4302,-0.0000,-0.0000,-0.0000,0.0000,-0.9147,0.4433,-0.0206,1.0000
0.4468,3.9356,7.7854,-0.3109,-0.0583,0.0271,-11.9781,15.5472,3.3859,-0.0000,-0.0000,-0.0000,0.0000,-0.8698,0.4626,-0.0167,1.0000
0.3765,4.2449,8.2734,0.3218,0.1335,-0.1210,-14.7766,15.9882,3.1342,-0.0000,-0.0000,-0.0000,0.0000,-0.8787,0.5158,-0.0205,1.0000
0.1998,3.4572,8.1744,0.0896,0.0813,-0.0933,-15.1062,15.7532,3.7109,-0.0000,-0.0000,-0.0000,0.0000,-0.8362,0.4644,-0.0207,1.0000
