e70c4664-4450-4133-bbe5-052ac79d9bfc,DS,1659772092967
Accelerometer x,Accelerometer y,Accelerometer z,Gyroscope x,Gyroscope y,Gyroscope z,Magnetometer x,Magnetometer y,Magnetometer z,GPS-Longitude,GPS-Latitude,GPS-Speed,Proximity_ON/OFF,Orientation yaw,Orientation pitch,Orientation roll,Screen
-2.1049,6.1922,5.9924,0.0688,-0.1514,-0.0504,-55.2689,-4.8416,-4.4724,-0.0000,-0.0000,-0.0000,0.0000,-1.7239,0.7688,0.2065,1.0000
-1.5661,6.1422,6.1065,-0.0149,0.0587,0.1045,-53.7094,-0.3265,-4.9957,-0.0000,-0.0000,-0.0000,0.0000,-1.6143,0.7586,0.1715,1.0000
-1.1066,6.1035,6.3672,0.0317,-0.0559,-0.0257,-52.2202,2.6123,-5.4825,-0.0000,-0.0000,-0.0000,0.0000,-1.6029,0.7505,0.1705,1.0000
-1.0940,6.0688,6.4176,-0.0222,0.2528,-0.0376,-53.7857,-2.5467,-2.2354,-0.0000,-0.0000,-0.0000,0.0000,-1.6962,0.7534,0.2178,1.0000
-1.5982,5.9107,6.7511,0.1423,-0.2227,0.0985,-53.0075,3.4042,-8.5297,-0.0000,-0.0000,-0.0000,0.0000,-1.5515,0.7393,0.1793,1.0000
-0.8230,6.0811,6.4269,-0.1425,-0.1224,-0.0811,-52.6215,5.7007,-9.8557,-0.0000,-0.0000,-0.0000,0.0000,-1.4738,0.7093,0.1494,1.0000
-0.8889,5.7923,6.5196,-0.0558,-0.0493,-0.0308,-51.9241,7.1198,-8.1451,-0.0000,-0.0000,-0.0000,0.0000,-1.4587,0.7044,0.1112,1.0000
-1.2077,2.8969,9.5266,0.7527,0.4861,-1.3831,-25.4486,32.5638,-29.6814,-0.0000,-0.0000,-0.0000,0.0000,-1.0247,0.2664,0.7485,1.0000
2.6241,4.7208,7.7407,0.0198,0.0010,0.0548,-38.5406,33.9249,-5.6198,-0.0000,-0.0000,-0.0000,0.0000,-0.8225,0.5332,-0.2594,1.0000
1.8254,4.3626,9.7340,0.6500,1.1142,-1.0976,-48.3566,14.3036,-17.4805,-0.0000,-0.0000,-0.0000,0.0000,-1.1265,0.4552,0.3750,1.0000
1.7411,6.7677,7.3310,0.0967,0.1328,0.0199,-52.4734,12.2803,-1.4481,-0.0000,-0.0000,-0.0000,0.0000,-1.3499,0.6497,-0.0476,1.0000
-0.3476,5.2806,6.5961,-0.1140,-0.0564,-0.0095,-53.6362,7.6096,-0.0076,-0.0000,-0.0000,-0.0000,0.0000,-1.4007,0.6485,-0.0077,1.0000
0.5844,4.6442,8.0577,-0.0162,0.1041,0.0663,-49.7864,15.5563,-2.8900,-0.0000,-0.0000,-0.0000,0.0000,-1.2597,0.5669,-0.0231,1.0000
